Genre	Name	TrackId	Popularity	Year	acousticness	analysis_url	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	valence
party	party (SHUT DOWN)	1ihIXI2MVklmJdPvIUxExZ	50	2017	0.273	https://api.spotify.com/v1/audio-analysis/1ihIXI2MVklmJdPvIUxExZ	0.702	216114	0.587	0	8	0.0631	-5.816	1	0.122	140.005	4	https://api.spotify.com/v1/tracks/1ihIXI2MVklmJdPvIUxExZ	0.773
party	Barbie Girl	0TpRXRoE7Au8qEiXFEeKNO	0	2022	0.00921	https://api.spotify.com/v1/audio-analysis/0TpRXRoE7Au8qEiXFEeKNO	0.755	195040	0.952	0.0619	1	0.466	-4.42	0	0.0376	129.965	4	https://api.spotify.com/v1/tracks/0TpRXRoE7Au8qEiXFEeKNO	0.929
party	Gangsta Party	2rhgHogQLnClDOk1Iegkc1	26	2021	0.0461	https://api.spotify.com/v1/audio-analysis/2rhgHogQLnClDOk1Iegkc1	0.908	224653	0.769	0.00000444	7	0.292	-7.619	1	0.156	95.998	4	https://api.spotify.com/v1/tracks/2rhgHogQLnClDOk1Iegkc1	0.888
party	Don't You Want Me	0tIB2BuFmGTHLbSjmLSCzF	2	2022	0.101	https://api.spotify.com/v1/audio-analysis/0tIB2BuFmGTHLbSjmLSCzF	0.744	236920	0.686	0	9	0.0718	-8.016	0	0.0437	117.483	4	https://api.spotify.com/v1/tracks/0tIB2BuFmGTHLbSjmLSCzF	0.894
party	The Bad Touch	7Mtp4CBHlDOQhGLKqkfcVF	1	2022	0.00334	https://api.spotify.com/v1/audio-analysis/7Mtp4CBHlDOQhGLKqkfcVF	0.828	260480	0.711	0.0321	0	0.0954	-6.261	0	0.0383	122.981	4	https://api.spotify.com/v1/tracks/7Mtp4CBHlDOQhGLKqkfcVF	0.969
party	Like to Party	4bv9fcxjNNBDP6GNAgrvbp	38	2012	0.136	https://api.spotify.com/v1/audio-analysis/4bv9fcxjNNBDP6GNAgrvbp	0.451	246400	0.717	0	7	0.121	-6.972	1	0.338	108.955	3	https://api.spotify.com/v1/tracks/4bv9fcxjNNBDP6GNAgrvbp	0.757
party	More Than This - Remastered/1999	44R44c1XnEIB9rCy66Wl9j	1	2022	0.0507	https://api.spotify.com/v1/audio-analysis/44R44c1XnEIB9rCy66Wl9j	0.653	270652	0.665	0.0461	6	0.139	-7.806	1	0.025	128.503	4	https://api.spotify.com/v1/tracks/44R44c1XnEIB9rCy66Wl9j	0.755
party	Bollywood Party Mashup by DJ Chetas	5DNYHmyjsFba5yjvQYljpd	26	2017	0.0194	https://api.spotify.com/v1/audio-analysis/5DNYHmyjsFba5yjvQYljpd	0.638	1220025	0.807	0.0000961	0	0.112	-5.518	1	0.0485	130.005	4	https://api.spotify.com/v1/tracks/5DNYHmyjsFba5yjvQYljpd	0.513
party	Party Sickness	06DcUBxCvBAqvWgpExtbLE	49	2022	0.175	https://api.spotify.com/v1/audio-analysis/06DcUBxCvBAqvWgpExtbLE	0.501	229414	0.752	0.000215	6	0.143	-4.606	1	0.1	95.428	4	https://api.spotify.com/v1/tracks/06DcUBxCvBAqvWgpExtbLE	0.588
party	The Birthday Party	3qZwJ1SiY32JW70JqgiFbY	45	2020	0.075	https://api.spotify.com/v1/audio-analysis/3qZwJ1SiY32JW70JqgiFbY	0.639	277897	0.468	0.374	2	0.169	-9.736	1	0.0317	134.077	4	https://api.spotify.com/v1/tracks/3qZwJ1SiY32JW70JqgiFbY	0.521
party	Welcome To The Party (feat. Nicki Minaj) - Remix	4GNNXSuRvvJXncs5CbmQAD	48	2019	0.0317	https://api.spotify.com/v1/audio-analysis/4GNNXSuRvvJXncs5CbmQAD	0.67	180720	0.622	0	2	0.158	-6.001	1	0.253	142.931	4	https://api.spotify.com/v1/tracks/4GNNXSuRvvJXncs5CbmQAD	0.41
party	LIFE OF THE PARTY	5w6Lrtl1RcgPSNVU4HeUoT	41	2022	0.0577	https://api.spotify.com/v1/audio-analysis/5w6Lrtl1RcgPSNVU4HeUoT	0.498	201783	0.599	0.0000549	8	0.138	-7.835	0	0.0372	78.712	4	https://api.spotify.com/v1/tracks/5w6Lrtl1RcgPSNVU4HeUoT	0.286
party	Party (feat. J. Cole)	7GjNPaxtLRJxPy1U6bLYrK	49	2011	0.0111	https://api.spotify.com/v1/audio-analysis/7GjNPaxtLRJxPy1U6bLYrK	0.649	219827	0.547	0	10	0.105	-6.936	1	0.0493	161.007	4	https://api.spotify.com/v1/tracks/7GjNPaxtLRJxPy1U6bLYrK	0.708
party	No Rain	2Tj25jC2r1Znto28qEaePW	1	2022	0.665	https://api.spotify.com/v1/audio-analysis/2Tj25jC2r1Znto28qEaePW	0.359	217200	0.573	0.000178	9	0.136	-6.054	1	0.0326	73.368	4	https://api.spotify.com/v1/tracks/2Tj25jC2r1Znto28qEaePW	0.562
party	Paperwork Party - Remix	5WOGp3E41juuRbaw4LlQZT	54	2021	0.276	https://api.spotify.com/v1/audio-analysis/5WOGp3E41juuRbaw4LlQZT	0.76	202067	0.531	0	5	0.15	-8.728	0	0.298	100.027	4	https://api.spotify.com/v1/tracks/5WOGp3E41juuRbaw4LlQZT	0.508
party	when the party's over - Slowed Remix	35zRHowhQifRViG90CiLLY	52	2022	0.992	https://api.spotify.com/v1/audio-analysis/35zRHowhQifRViG90CiLLY	0.409	234280	0.0191	0.912	2	0.0981	-31.753	1	0.0324	104.164	4	https://api.spotify.com/v1/tracks/35zRHowhQifRViG90CiLLY	0.181
party	Insomnia - Radio Edit	3dX6WDwnHwYzB5t754oB4T	60	2010	0.00864	https://api.spotify.com/v1/audio-analysis/3dX6WDwnHwYzB5t754oB4T	0.712	215093	0.837	0.00684	7	0.102	-7.191	1	0.0285	127.076	4	https://api.spotify.com/v1/tracks/3dX6WDwnHwYzB5t754oB4T	0.279
party	More Than Words	3HHJPu5TObEfk7dhEtRlXa	1	2022	0.43	https://api.spotify.com/v1/audio-analysis/3HHJPu5TObEfk7dhEtRlXa	0.626	337829	0.242	0.00000109	6	0.119	-8.658	1	0.0269	91.259	4	https://api.spotify.com/v1/tracks/3HHJPu5TObEfk7dhEtRlXa	0.228
party	Picture Of You	3afot8yZQsma3vrxG60nRC	1	2022	0.045	https://api.spotify.com/v1/audio-analysis/3afot8yZQsma3vrxG60nRC	0.71	210467	0.949	0	0	0.332	-4.348	1	0.0484	116.634	4	https://api.spotify.com/v1/tracks/3afot8yZQsma3vrxG60nRC	0.792
party	Pity Party	2EiDH5gf8XUSKbBnkfiB1R	34	2017	0.45	https://api.spotify.com/v1/audio-analysis/2EiDH5gf8XUSKbBnkfiB1R	0.349	236832	0.622	0	6	0.189	-7.322	1	0.187	114.965	4	https://api.spotify.com/v1/tracks/2EiDH5gf8XUSKbBnkfiB1R	0.566
party	Father And Son	5fxLMZ6iMUW1KamlIsvF4M	1	2022	0.358	https://api.spotify.com/v1/audio-analysis/5fxLMZ6iMUW1KamlIsvF4M	0.441	166120	0.547	0	3	0.133	-6.095	1	0.0266	146.139	4	https://api.spotify.com/v1/tracks/5fxLMZ6iMUW1KamlIsvF4M	0.16
party	Barbie Girl	4oj0kdOyLgKPEPaUJkxmkA	1	2022	0.00921	https://api.spotify.com/v1/audio-analysis/4oj0kdOyLgKPEPaUJkxmkA	0.755	195040	0.952	0.0619	1	0.466	-4.42	0	0.0376	129.965	4	https://api.spotify.com/v1/tracks/4oj0kdOyLgKPEPaUJkxmkA	0.929
party	Electricity - Remastered 2003	7vCBDyGiRZcloWsKmyymta	2	2022	0.00729	https://api.spotify.com/v1/audio-analysis/7vCBDyGiRZcloWsKmyymta	0.47	219067	0.909	0.3	9	0.314	-5.216	0	0.0339	161.647	4	https://api.spotify.com/v1/tracks/7vCBDyGiRZcloWsKmyymta	0.535
party	Enola Gay	6P4CED5kb7Vy9Dn8k4Lrby	2	2022	0.00595	https://api.spotify.com/v1/audio-analysis/6P4CED5kb7Vy9Dn8k4Lrby	0.566	212347	0.773	0.0251	2	0.0774	-6.658	0	0.0324	143.109	4	https://api.spotify.com/v1/tracks/6P4CED5kb7Vy9Dn8k4Lrby	0.93
party	Over Here (feat. Drake)	5i70f6KOnmtRCbutYnLvVC	50	2013	0.0384	https://api.spotify.com/v1/audio-analysis/5i70f6KOnmtRCbutYnLvVC	0.794	177827	0.592	0.0000186	8	0.111	-6.973	1	0.129	97.201	4	https://api.spotify.com/v1/tracks/5i70f6KOnmtRCbutYnLvVC	0.177
party	Today My Life Begins	6wBUiU6QVvWaq6A1VZeVdr	40	2014	0.523	https://api.spotify.com/v1/audio-analysis/6wBUiU6QVvWaq6A1VZeVdr	0.689	203546	0.503	0	0	0.124	-8.493	1	0.0375	90.055	4	https://api.spotify.com/v1/tracks/6wBUiU6QVvWaq6A1VZeVdr	0.352
party	Party In The USA - Live	5awub9b8qfJEAhJXhkiWez	54	2022	0.00268	https://api.spotify.com/v1/audio-analysis/5awub9b8qfJEAhJXhkiWez	0.348	420791	0.953	0.0000548	8	0.852	-4.223	0	0.0813	99.566	4	https://api.spotify.com/v1/tracks/5awub9b8qfJEAhJXhkiWez	0.257
