Genre	Name	TrackId	Popularity	Year	acousticness	analysis_url	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	valence
chill	Down to Earth	2rHoAXOtGrsdbQPgJGJyXf	0	2022	0.0752	https://api.spotify.com/v1/audio-analysis/2rHoAXOtGrsdbQPgJGJyXf	0.583	168040	0.793	0.00000138	11	0.113	-4.953	1	0.0552	176.236	4	https://api.spotify.com/v1/tracks/2rHoAXOtGrsdbQPgJGJyXf	0.383
chill	Break up In the End	4uGh6jBAoKaiCDlYmnBS2u	0	2022	0.479	https://api.spotify.com/v1/audio-analysis/4uGh6jBAoKaiCDlYmnBS2u	0.506	199693	0.372	0	1	0.271	-8.433	1	0.0303	86.421	4	https://api.spotify.com/v1/tracks/4uGh6jBAoKaiCDlYmnBS2u	0.257
chill	Summer Feelings	6F0hLrPooW6x48QVV8UQfa	0	2022	0.262	https://api.spotify.com/v1/audio-analysis/6F0hLrPooW6x48QVV8UQfa	0.696	160289	0.686	0	5	0.174	-6.113	0	0.0309	115.982	4	https://api.spotify.com/v1/tracks/6F0hLrPooW6x48QVV8UQfa	0.7
chill	No Chill	6J1qFWHFbmMgz0A6o10Xaq	54	2021	0.0548	https://api.spotify.com/v1/audio-analysis/6J1qFWHFbmMgz0A6o10Xaq	0.668	163107	0.597	0	9	0.527	-7.461	0	0.259	102.876	4	https://api.spotify.com/v1/tracks/6J1qFWHFbmMgz0A6o10Xaq	0.637
chill	tears in the club	0kuWgWHZEqGJ5hbQTTzJp3	0	2022	0.194	https://api.spotify.com/v1/audio-analysis/0kuWgWHZEqGJ5hbQTTzJp3	0.616	196760	0.717	0.0000981	8	0.0731	-6.178	1	0.11	167.99	4	https://api.spotify.com/v1/tracks/0kuWgWHZEqGJ5hbQTTzJp3	0.72
chill	Father And Son - Live At The Troubadour, Los Angeles, USA / 1970	3OZJTCV7W2lNMR4xNDFFw7	0	2022	0.713	https://api.spotify.com/v1/audio-analysis/3OZJTCV7W2lNMR4xNDFFw7	0.544	232080	0.573	0.0000301	6	0.169	-8.408	1	0.32	136.015	4	https://api.spotify.com/v1/tracks/3OZJTCV7W2lNMR4xNDFFw7	0.563
chill	Here's Your Perfect	0ODVukQyNzecfmHAuPMvLN	5	2022	0.499	https://api.spotify.com/v1/audio-analysis/0ODVukQyNzecfmHAuPMvLN	0.558	158594	0.454	0	6	0.146	-5.335	1	0.0551	113.12	4	https://api.spotify.com/v1/tracks/0ODVukQyNzecfmHAuPMvLN	0.424
chill	There Goes My Baby	5E2xhtHa5kG0Tp6YfYawG9	0	2022	0.0101	https://api.spotify.com/v1/audio-analysis/5E2xhtHa5kG0Tp6YfYawG9	0.756	138893	0.478	0.0156	1	0.0675	-9.127	1	0.0329	118.672	4	https://api.spotify.com/v1/tracks/5E2xhtHa5kG0Tp6YfYawG9	0.95
chill	Melle En Kannadi Chillormmayil	0zOuR2n9B6WLV7baOUhVB6	25	2020	0.571	https://api.spotify.com/v1/audio-analysis/0zOuR2n9B6WLV7baOUhVB6	0.389	230832	0.47	0.00000807	3	0.12	-6.264	0	0.0435	77.312	4	https://api.spotify.com/v1/tracks/0zOuR2n9B6WLV7baOUhVB6	0.12
chill	Go - Anfisa Letyago Remix	5FF6CCoVpH2gCRUdCGTm7G	0	2022	0.00054	https://api.spotify.com/v1/audio-analysis/5FF6CCoVpH2gCRUdCGTm7G	0.674	338741	0.958	0.897	11	0.107	-6.167	0	0.0404	126.989	4	https://api.spotify.com/v1/tracks/5FF6CCoVpH2gCRUdCGTm7G	0.536
